ID,Name,Dimension,Price,Type,SubType,Brand,ProductURL
A-0001,"DeckUp Muvo 5-Shelf Engineered Wood Book Shelf and Display Unit (White, Matte Finish)",28D x 80W x 169H Centimeters Style,5599,Storage,bookshelf,,https://www.amazon.in/dp/B0BP7JBVKN
A-0002,DeckUp Plank Reno Engineered Wood Storage Unit and Book Shelf (Wotan Oak and White),38D x 59W x 175H Centimeters Style,4999,Storage,bookshelf,,https://www.amazon.in/dp/B08J3X46N5
A-0003,"Lukzer 8-Shelf Engineered Wood Bookshelf Storage Organizer | Open Cube Cabinet for Living Room, Kitchen, Office, Home Use | White Finish | MR-009, 110x60x28cm | DIY Assembly with Detachable Components",28D x 60W x 110H Centimeters Style,3466,Storage,bookshelf,,https://www.amazon.in/dp/B0BX92F58H
A-0004,MODERN FURNITURE SHEESHAM Wooden Crockery Cabinet with Glass Door | Wooden Book Shelf for Home Library | Bookshelf Crockery Unit for Home & Kitchen Living Room,35.6D x 88.9W x 172.7H Centimeters Style,27499,Storage,bookshelf,,https://www.amazon.in/dp/B0BPZ29XWC
A-0005,"FURNEASER Allesia Modern Zig-Zag Wooden Bookshelf | Engineered Wood Display Rack | Multipurpose Storage Shelf for Living Room, Bedroom & Office (White)",25D x 110W x 107H Centimeters Style,3767,Storage,bookshelf,,https://www.amazon.in/dp/B0CKJ1GF5R
A-0006,"ABOUT SPACE Book Shelf - 5 Tier Engineered Wood Book Rack Multipurpose Book Shelf for Home Library Study Room Long Open Storage Organizer for Bedroom, Living Room (White - L 80 x B 30 x H 165 cm)",80D x 32W x 165H Centimeters Style,5499,Storage,bookshelf,,https://www.amazon.in/dp/B0CCXTSSLJ
A-0007,SS WOOD FURNITURE Sheesham Solid Wood Bookcase for Living Room/Bedroom (Honey),35D x 135W x 180H Centimeters Special Feature,28799,Storage,bookshelf,,https://www.amazon.in/dp/B0DXFQ67PW
A-0008,BLUEWUD Molse Engineering Wood Multipurpose Floor Standing Bookshelf Decor Display Shelves Wall Book Storage Rack Organizer with Hinged Door for Office Home (Brown Maple & White),24D x 60W x 151.5H Centimeters Style,4419,Storage,bookshelf,,https://www.amazon.in/dp/B0DH8HFRS6
A-0009,Lukzer Engineered Wood 6 Tier Bookcase Open Book Shelf Storage Cabinet (MR-007 / White / 134 x 24 x 71cm) DIY(Do It Yourself).,24D x 71W x 134H Centimeters Style,3766,Storage,bookshelf,,https://www.amazon.in/dp/B0BY52LDD7
A-0010,PRANIJ Desktop Magazine Holder Tabletop Desk File Organizer 4 Compartments|Plastic Vertical File Dividers Tiered Shelf Book Holder&Cabinet Document Storage Rack(Black-With Pen Stand),300D x 27W x 300H Millimeters Shelf Type,444,Storage,bookshelf,,https://www.amazon.in/dp/B0CP82SY17
A-0011,Enigmatic Woodworks Wooden Open Bookshelf Multipurpose for Home Rack Showcase Organizer for Living Room I Study Room I 7-Tier I Color-Walnut I Finish-Suede DIY,24D x 33W x 182H Centimeters Style,2469,Storage,bookshelf,,https://www.amazon.in/dp/B0FNWWVD1Q
A-0012,"WoodMarwar Solid Sheesham Wood Book Shelf | Wooden Tree Shape Bookshelf | Free Standing Bookcase with 6 Open Shelf Storage | Utility Organizer Shelves for Living Room | Rosewood, Natural Finish",20.8D x 38W x 116.8H Centimeters Style,5046,Storage,bookshelf,,https://www.amazon.in/dp/B0C1JPRDMY
A-0013,Lukzer 3 Layer Engineered Wood Multipurpose Rack Bookshelf Storage Organizer Stand (MR-010/Black/80x33x22cm) - Modern Black Cabinet Storage for Home Organization,22D x 33W x 80H Centimeters Style,998,Storage,bookshelf,,https://www.amazon.in/dp/B0GDTV38D9
A-0014,"Snazzy Foldable Metal Plastic Open Bookcase Bookshelf, Bookrack, Book Shelves for Home Library Office Study Room (Black)",30D x 110W x 110H Centimeters Style,1771,Storage,bookshelf,,https://www.amazon.in/dp/B091TVNK8W
A-0015,"DeckUp Giona Engineered Wood Book Shelf and Display Unit (Walnut, Matte Finish)",42.5D x 60W x 181H Centimeters Style,7999,Storage,bookshelf,,https://www.amazon.in/dp/B09YYQ2Y5Q
A-0016,"Amazon Brand - Solimo 6 Layer Engineered Wood Bookshelf | Multipurpose Home Decor Storage Rack | Showcase Organizer for Living Room, Kitchen, Bedroom, Office |Brown",24D x 33.5W x 180H Centimeters Style,2459,Storage,bookshelf,,https://www.amazon.in/dp/B0D635L7G7
A-0017,"HOME CUBE 5-Tier Metal Storage Shelf with Wooden Shelves, Kitchen Organizer Rack, Microwave Stand, Bookshelf, Standing Shelf Units, Multipurpose Storage Rack for Living Room, Office, Garage, Shops",60D x 40W x 151.5H Centimeters Style,4399,Storage,bookshelf,,https://www.amazon.in/dp/B0FJ5S9XG2
A-0018,BLUEWUD Crosbon Engineered Wood Bookshelf Cabinet Book Rack Organizer with Shelves for Décor Display Cabinet Floor Standing for Home Library (Brown Maple),25D x 60W x 166.5H Centimeters Style,4499,Storage,bookshelf,,https://www.amazon.in/dp/B0CP94C3ZR
A-0019,"Vintageware® 3-Tier Iron Wall Shelf Fire Escape Ladder Design | Decorative Wall Shelves for Living Room, Bedroom & Home Décor (Black)",9D x 30W x 65H Centimeters Style,1566,Storage,bookshelf,,https://www.amazon.in/dp/B09BCNBF7B
A-0020,Ozone Furniture Engineering Wood Book Shelf with Calssic Design,60D x 32W x 84H Centimeters Special Feature,749,Storage,bookshelf,,https://www.amazon.in/dp/B0F8WNHTXF
A-0021,"Vintageware® Iron Fire Escape Wall Shelves 3-Tier – Decorative Ladder Style Wall Shelf for Living Room, Bedroom, Office & Home Décor",9D x 30W x 65H Centimeters Style,1729,Storage,bookshelf,,https://www.amazon.in/dp/B0F2FRT6ZP
A-0022,"WoodMarwar Solid Sheesham Wood Book Shelf | Wooden Tree Shape Bookshelf | Free Standing Bookcase with Open 8 Shelf & One Drawer Storage | Tall Display Unit Book Stand | Rosewood, Black Finish",38D x 20.8W x 140H Centimeters Style,6929,Storage,bookshelf,,https://www.amazon.in/dp/B0C4LLTZ2C
A-0023,"Lukzer 6-Layer S-Shape Ladder Bookshelf | Engineered Wood Open Display Rack | Modern Bookcase for Living Room, Office & Study Room/Library | Home Storage Organizer (MR-002/Oak Light, 178x70x24 cm DIY)",24D x 70W x 178H Centimeters Style,3488,Storage,bookshelf,,https://www.amazon.in/dp/B0BHRG4SZG
A-0024,"Callas Wooden Bookshelf with Display Unit Cabinet | Engineered Wood Bookcase for Living Room, Bedroom, Office | Modern Display Shelf Organizer for Books & Décor - Gifting (BR-22-Walnut)",30D x 30W x 40H Centimeters Style,4429,Storage,bookshelf,,https://www.amazon.in/dp/B0FT3LZLSM
A-0025,"Lukzer 8-Shelf Modern Engineered Wood Bookcase with Storage, Display Rack & Open Bookcase – DIY Bookshelf for Living Room, Bedroom, Office, Study, Hallway – Oak Brown, 164 x 24 x 70 cm (MR-004)",164D x 70W x 24H Centimeters Style,3820,Storage,bookshelf,,https://www.amazon.in/dp/B0DXBSHN5B
A-0026,WoodMarwar Sheesham Wood Free Standing Book Shelf | Multipurpose Bookshelf Storage Display Rack with 8 Shelf & 2 Drawer with Lock for Ofice | Decorative Corner Shelf Bookcase for Home Decor | Pine,53D x 21W x 147H Centimeters Style,9054,Storage,bookshelf,,https://www.amazon.in/dp/B0CQM7M4DX
A-0027,"Tribesigns 5-Tier Bookshelf, Vintage Industrial Style Bookcase 72 H x 12 W x 47L Inches, Black",120D x 32W x 182.9H Centimeters Style,9349,Storage,bookshelf,,https://www.amazon.in/dp/B07H8DY8PG
A-0028,"BLUEWUD Alex Multi Layer Wide & Narrow Design Bookshelf Filing Cabinet Books Rack Organizer for Décor Display Wall Mount Floor Standing for Home Library (Brown Maple, Alex-5 Layer)",27.5D x 80W x 165.3H Centimeters Style,5849,Storage,bookshelf,,https://www.amazon.in/dp/B0CJRPVG58
A-0029,Miniture Carrot-Themed Kids Front-Facing Bookshelf | Book Storage Rack | Kids Bookshelf | Perfect for Home Play Schools & Kindergarten| Book Storage Rack for Toddlers,36.5D x 71W x 66H Centimeters Style,3299,Storage,bookshelf,,https://www.amazon.in/dp/B0CX98DC34
A-0030,"Bniture Book Shelf for Home, Engineered Wood Bookshelf Multipurpose Study Room Home Decor Storage Rack Showcase Organizer for Living Room, Bedroom, Office (BS125) (Frosty White)",40D x 75W x 180H Centimeters Style,6700,Storage,bookshelf,,https://www.amazon.in/dp/B0DF2VTQ31
